OFFICECODE,OFFICENAME,SUB DIVISION,PLI_INITIAL_TARGET,PLI_RENEWAL_TARGET,RPLI_INITIAL_TARGET,RPLI_RENEWAL_TARGET
KC090101010,AKAMKUDY BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101016,ARATTUPUZHA BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101013,ARATTUPUZHA NORTH BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090202054,AREEKARA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090202058,ARUNOOTTIMANGALAM,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090103093,ATHIKATTUKULANGARA,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090101005,AYAPARAMBU BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090220000,AYRANIKUDY SO,Mavelikara North Sub Division,750000,1750000,500000,1300000
KC090103104,BHARANICKAVU BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103118,CHARUMOODU SO,Mavelikara South Sub Division,1250000,2750000,1000000,2250000
KC090202070,CHENNITHALA SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090202063,CHENNITHALA SOUTH BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090101028,CHEPPAUD SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090202071,CHERUKOLE SO,Mavelikara North Sub Division,800000,2000000,600000,1500000
KC090101017,CHERUTHANA BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090203115,CHETTIKULANGARA SO,Mavelikara South Sub Division,1250000,2750000,1000000,2250000
KC090101029,CHINGOLI SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090101009,CHOOLATHERUVU BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090103111,CHUNAKARA SO,Mavelikara South Sub Division,750000,1750000,500000,1300000
KC090202072,ENNAKKAD SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090202053,ERAMATHOOR BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090202051,ERAVANKARA BO,Mavelikara North Sub Division,250000,750000,150000,750000
KC090203087,EREZHA NORTH BO,Mavelikara South Sub Division,250000,750000,150000,750000
KC090203086,EREZHA SOUTH BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090101004,ERICKAVU BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101018,ERUVA BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101019,EVUR BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090202045,EZHAKADAVU BO,Mavelikara North Sub Division,250000,750000,150000,750000
KC090101012,GOVINDAMUTTOM BO,Kayangulam Sub Division,250000,750000,150000,750000
KC090101032,HARIPAD SO,Kayangulam Sub Division,1500000,3500000,1250000,2500000
KC090103098,ILLIPPAKULAM BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103099,KADUVINAL BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090202064,KALLIMEL BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090203116,KALLUMALA SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090101033,KANDALLUR SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090202060,KANDIYOOR BO,Mavelikara North Sub Division,250000,750000,150000,750000
KC090203088,KANNAMANGALAM BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103090,KANNANAKUZHY BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090101007,KAPPIL EAST BO,Kayangulam Sub Division,250000,750000,150000,750000
KC090202073,KARAKKAD SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090101030,KAREELAKULANGARA SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090202065,KARIPUZHA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090101034,KARTHIKAPPALLY SO,Kayangulam Sub Division,1250000,2750000,1000000,2250000
KC090101020,KARUVATTA NORTH BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101035,KARUVATTA SO,Kayangulam Sub Division,1250000,2750000,1000000,2250000
KC090103105,KATTANAM BO,Mavelikara South Sub Division,250000,750000,150000,750000
KC090101036,KAYANGULAM COLLEGE,Kayangulam Sub Division,500000,1500000,350000,1200000
KC090100000,KAYANGULAM HO,Kayangulam Sub Division,2500000,5000000,2000000,3500000
KC090101031,KEERIKAD SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090202074,KODUKULANJI SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090202075,KOLLAKADAVU SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090103091,KOMALLUR BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090202048,KOTTA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090202076,KOZHUVALLUR SO,Mavelikara South Sub Division,750000,1750000,500000,1300000
KC090101037,KRISHNAPURAM SO,Kayangulam Sub Division,800000,2000000,600000,1500000
KC090202077,KUDASSANAD SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090101021,KUMARAPURAM SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090202078,KUNNAM SO ALAPPUZHA,Mavelikara North Sub Division,500000,1500000,350000,1200000
KC090202066,KUTTEMPERUR SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090101022,MAHADEVIKADU BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090202050,MAMPRA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090101014,MANGALAM BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090202067,MANKAMKUZHY SO,Mavelikara North Sub Division,750000,1750000,500000,1300000
KC090202079,MANNAR SO,Mavelikara North Sub Division,1500000,3500000,1250000,2500000
KC090101023,MANNARASALA BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090202081,MAVELIKARA CUTCHERRY,Mavelikara South Sub Division,500000,1500000,350000,1200000
KC090200000,MAVELIKARA HO,Mavelikara North Sub Division,2500000,5000000,2000000,3500000
KC090202068,MELPADOM SO,Mavelikara North Sub Division,750000,1750000,500000,1300000
KC090202082,MULAKUZHA SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090101024,MUTHUKULAM BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101038,MUTHUKULAM SOUTH SO,Kayangulam Sub Division,1250000,2750000,1000000,2250000
KC090102069,MUTTOMALLEPPEY SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090102059,NADUVATTOM BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090101039,NANGIARKULANGARA SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090202049,NEDUVARAMKODU BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090101008,NJAKKANAL BO,Kayangulam Sub Division,250000,750000,150000,750000
KC090103112,NOORANAD SANATORIUM,Mavelikara South Sub Division,750000,1750000,500000,1300000
KC090103119,NOORANAD SO,Mavelikara South Sub Division,1250000,2750000,1000000,2250000
KC090203109,OLAKETTIAMBALAM SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090103783,PACHAKKAD BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103120,PADANILAM SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090101015,PALLANA BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090203089,PALLARIMANGALAM BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103106,PALLICKAL NADUVILEMURI,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103095,PALLICKAL NOORANAD BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103121,PALLICKAL SO,Mavelikara South Sub Division,1500000,3500000,1250000,2500000
KC090102086,PALLIPAD SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090103094,PANAYIL BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090101006,PANDY BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101126,PATHIYOOR BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103126,PATTOLIMARKET BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090103097,PATTOOR BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090202052,PAVUKARA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090101025,PAYIPAD BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090103096,PAYYANALLUR BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090202057,PELA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090202083,PENNUKKARA SO,Mavelikara North Sub Division,750000,1750000,500000,1300000
KC090202055,PERINGALAMULAKUZHA,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090202047,PERINGILIPURAM BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090103122,PERUNGALA SO,Mavelikara South Sub Division,750000,1750000,500000,1300000
KC090202056,POOMALA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090203118,POOZHIKKAD SO,Mavelikara South Sub Division,750000,1750000,500000,1300000
KC090103113,PULLIKANAKKU SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090203108,PUNTHALA BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103124,PUTHENCHANTHA BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090202061,PUTHIYACAVU BO,Mavelikara North Sub Division,0,0,0,0
KC090101040,PUTHIYAVILA SO,Kayangulam Sub Division,1000000,2500000,750000,1750000
KC090101041,PUTHUPPALLY SO,Kayangulam Sub Division,800000,2000000,600000,1500000
KC090101026,THAMALLACKAL BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101002,THAMALLACKAL NORTH,Kayangulam Sub Division,350000,1000000,250000,850000
KC090103114,THAMARAKULAM SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090103115,THANNIKUNNU BO,Mavelikara South Sub Division,250000,750000,150000,750000
KC090202084,THATTARAMBALAM SO,Mavelikara North Sub Division,1000000,2500000,750000,1750000
KC090202085,THAZHAKARA SO,Mavelikara North Sub Division,800000,2000000,600000,1500000
KC090203117,THEKKEKARA SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090101042,THRIKKUNNAPUZHA SO,Kayangulam Sub Division,1250000,2750000,1000000,2250000
KC090202044,THRIPPERUNTHURA BO,Mavelikara North Sub Division,350000,1000000,250000,850000
KC090103799,ULAVUKKAD BO,Mavelikara South Sub Division,250000,750000,150000,750000
KC090202046,VALIYAKULANGARA BO,Mavelikara North Sub Division,250000,750000,150000,750000
KC090101027,VALIYAPARAMBU BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090101003,VALIYAZHEEKKAL BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090103123,VALLIKUNNAM SO,Mavelikara South Sub Division,1250000,2750000,1000000,2250000
KC090203119,VARENICKAL BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090103092,VEDARAPLAVU BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090101001,VEEYAPURAM BO,Kayangulam Sub Division,350000,1000000,250000,850000
KC090203110,VENMONY SO,Mavelikara South Sub Division,1000000,2500000,750000,1750000
KC090103107,VETTICODE BO,Mavelikara South Sub Division,350000,1000000,250000,850000
KC090201125,VETTIYAR BO,Mavelikara North Sub Division,350000,1000000,250000,850000
